0 0 1 1 1  R5[8]  R5[7]  R5[6]  R5[5]  R5[4]  R5[1]  R4[3]  R4[2]  R4[1]  R4[0]  R3[9]  R0[3]
26 R51[10] 0 0 1 R51[6] 0 0 R47[6] R47[5] R47[4] R47[3] R43[15] R43[14] R43[13] R43[12] R43[11]
27 R56[10] R56[9] R56[8] R56[7] R56[6] R56[5] R56[4] R56[3] R56[2] R56[1] R56[0] R53[3] 1 0 0 0
28 R57[14] R57[12] R57[9] R57[8] R57[7] R57[6] R57[5] R57[4] R57[3] R57[1] R57[0] R56[15] R56[14] R56[13] R56[12] R56[11]
29 R62[6] R62[5] R62[4] R62[3] R62[2] R62[1] R62[0] R60[11] R60[10] R60[5] R60[4] R59[15] R59[14] R59[13] R59[12] R59[11]
30 R63[7] R63[6] R63[5] R63[4] R63[3] R63[1] R63[0] R62[15] R62[14] R62[13] R62[12] R62[11] R62[10] R62[9] R62[8] R62[7]
31 R67[6] R67[5] R67[4] R67[3] R67[2] R67[1] R67[0] R66[5] R66[4] R65[14] R65[13] R65[11] R63[13] R63[12] R63[9] R63[8]
32 R68[7] R68[6] R68[5] R68[4] R68[3] R68[1] R68[0] R67[15] R67[14] R67[13] R67[12] R67[11] R67[10] R67[9] R67[8] R67[7]
33 R72[6] R72[5] R72[4] R72[3] R72[2] R72[1] R72[0] R71[10] R71[9] R71[5] R71[4] R70[11] R68[13] R68[12] R68[9] R68[8]
34 R73[7] R73[6] R73[5] R73[4] R73[3] R73[1] R73[0] R72[15] R72[14] R72[13] R72[12] R72[11] R72[10] R72[9] R72[8] R72[7]
35 0 0 0 R77[1] R77[0] R76[5] R76[4] R75[15] R75[14] R75[13] R75[12] R75[11] R73[13] R73[12] R73[9] R73[8]
36 0 0 0 0 0 0 0 0 0 R79[9] R78[12] 0 0 0 0 0
37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
39 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
40 R1[6] R1[5] R1[4] R1[3] R1[2] R1[1] R1[0] R0[15] R0[14] R0[13] R0[12] 0 R0[10] 0 R0[8] R0[0]
41 R2[6] R2[5] R2[4] R2[3] R2[2] R2[1] R2[0] R1[15] R1[14] R1[13] R1[12] R1[11] R1[10] R1[9] R1[8] R1[7]
42 0 R5[3] R5[2] R4[7] R4[6] R4[5] R4[4] R3[4] R3[3] R2[13] R2[12] R2[11] R2[10] R2[9] R2[8] R2[7]
43 R24[15] R24[12] R24[11] R24[10] R24[9] R24[8] 0 0 R24[5] R24[4] R24[3] R24[2] R24[1] R24[0] 0 0
44 R27[0] 0 R25[14] R25[13] R25[12] R25[11] R25[10] R25[9] R25[7] R25[6] R25[5] R25[4] R25[3] R25[2] R25[1] R25[0]
45 R30[14] R30[13] R30[12] R30[11] R30[10] R30[9] R30[8] R30[7] R30[6] R30[5] R30[4] R30[3] R30[2] R30[1] R30[0] R27[1]
46 R31[15] R31[14] R31[13] R31[12] R31[11] R31[10] R31[9] R31[8] R31[7] R31[6] R31[5] R31[4] R31[3] R31[2] R31[1] R31[0]
47 R33[7] R33[6] R33[5] R33[4] R33[3] R33[2] R33[1] R33[0] R32[7] R32[6] R32[5] R32[4] R32[3] R32[2] R32[1] R32[0]
48 R34[7] R34[6] R34[5] R34[4] R34[3] R34[2] R34[1] R34[0] R33[15] R33[14] R33[13] R33[12] R33[11] R33[10] R33[9] R33[8]
49 R43[10] R43[9] R43[8] R43[7] R43[6] R43[5] R43[4] R43[3] R43[2] R43[1] R43[0] R42[5] R42[3] R42[2] R42[1] R41[15]
50 R51[10] 0 0 1 R51[6] 0 0 R47[6] R47[5] R47[4] R47[3] R43[15] R43[14] R43[13] R43[12] R43[11]
51 R56[10] R56[9] R56[8] R56[7] R56[6] R56[5] R56[4] R56[3] R56[2] R56[1] R56[0] R53[3] 1 0 0 0
52 R57[14] R57[12] R57[9] R57[8] R57[7] R57[6] R57[5] R57[4] R57[3] R57[1] R57[0] R56[15] R56[14] R56[13] R56[12] R56[11]
53 R62[6] R62[5] R62[4] R62[3] R62[2] R62[1] R62[0] R60[11] R60[10] R60[5] R60[4] R59[15] R59[14] R59[13] R59[12] R59[11]
54 R63[7] R63[6] R63[5] R63[4] R63[3] R63[1] R63[0] R62[15] R62[14] R62[13] R62[12] R62[11] R62[10] R62[9] R62[8] R62[7]
55 R67[6] R67[5] R67[4] R67[3] R67[2] R67[1] R67[0] R66[5] R66[4] R65[14] R65[13] R65[11] R63[13] R63[12] R63[9] R63[8]
56 R68[7] R68[6] R68[5] R68[4] R68[3] R68[1] R68[0] R67[15] R67[14] R67[13] R67[12] R67[11] R67[10] R67[9] R67[8] R67[7]
57 R72[6] R72[5] R72[4] R72[3] R72[2] R72[1] R72[0] R71[10] R71[9] R71[5] R71[4] R70[11] R68[13] R68[12] R68[9] R68[8]
58 R73[7] R73[6] R73[5] R73[4] R73[3] R73[1] R73[0] R72[15] R72[14] R72[13] R72[12] R72[11] R72[10] R72[9] R72[8] R72[7]
59 0 0 0 R77[1] R77[0] R76[5] R76[4] R75[15] R75[14] R75[13] R75[12] R75[11] R73[13] R73[12] R73[9] R73[8]
60 0  0 0 0 0 0 0 0 0 R79[9] R78[12] 0 0 0 0 0
61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
63 SCRC[15] SCRC[14] SCRC[13] SCRC[12] SCRC[11] SCRC[10] SCRC[9] SCRC[8] SCRC[7] SCRC[6] SCRC[5] SCRC[4] SCRC[3] SCRC[2] SCRC[1] SCRC[0]
